,atom,residue,-9,-8,-7,-6,-5,-4,-3
35,CD3,OXO0,-0.0590463669,-0.0521026925,-0.0544841287,-0.0627355645,-0.0655295245,-0.0574249819,-0.0277190514
36,CD4,OXO0,0.0310864495,0.0602869703,0.043255369,0.0222603158,-0.0194641044,-0.1011012956,-0.1182386448
37,CD5,OXO0,0.355881473,0.2968130707,0.2862123255,0.3161907996,0.3753727428,0.4719807117,0.5841548539
38,HD3,OXO0,0.0199725043,0.0354235087,0.0332796199,0.0223876799,-0.0007090555,-0.0469997775,-0.1146480568
39,CF1,OXO0,0.3884125543,0.3120873372,0.3662836645,0.424428969,0.5017548953,0.6537511696,0.9227995515
40,OF1,OXO0,-0.4144566278,-0.3891922653,-0.3993439423,-0.4178237839,-0.4563224306,-0.5330691123,-0.6870158795
41,OF2,OXO0,-0.2238637949,-0.2178430055,-0.2616478188,-0.303195569,-0.3495529976,-0.4407780698,-0.6943693277
42,CF2,OXO0,0.1921806244,0.1967584382,0.2059034327,0.2141236566,0.2210996101,0.2492482664,0.3899846682
43,CA4,OXO0,0.2197296263,0.2288710424,0.2312038883,0.2210189986,0.2228134757,0.2659154625,0.3498848715
44,NA2,OXO0,-0.3867421605,-0.4107840544,-0.4073468643,-0.3472106659,-0.3162278878,-0.3599342457,-0.263754205
45,HA3,OXO0,0.2218594965,0.2290430637,0.2283505098,0.2080136179,0.2022568987,0.2277180208,0.1871975385
46,HA4,OXO0,0.2839206531,0.291253478,0.2892927989,0.2706814519,0.2562399698,0.2565819429,0.2103917186
47,HA5,OXO0,0.1722380721,0.1788797199,0.1852809975,0.1838669217,0.1917502462,0.2157630305,0.1667389684
48,CG1,OXO0,0.5582734475,0.5427468362,0.5268351077,0.5448658476,0.5987824374,0.709924226,0.9651727407
49,OG1,OXO0,-0.4203700085,-0.4147842114,-0.4112818972,-0.4239238743,-0.456621168,-0.5277607954,-0.7028844046
50,OG2,OXO0,-0.3832730795,-0.3756201273,-0.3699421329,-0.379785166,-0.4188847612,-0.516329329,-0.7765114555
51,CG2,OXO0,0.2674978576,0.2632593009,0.2581364306,0.265210312,0.3003361934,0.3734575903,0.5556147051
52,CB4,OXO0,0.2071968509,0.2174102921,0.2291224822,0.2361960315,0.232944406,0.2530330212,0.3427851972
53,NB2,OXO0,-0.553744172,-0.5647847747,-0.5789642429,-0.5999040253,-0.6039073137,-0.5926342607,-0.4805198171
54,HB3,OXO0,0.2436415809,0.2464702365,0.2495262411,0.2550076566,0.2587046459,0.2579635687,0.2100969322
55,HB4,OXO0,0.2414301581,0.2457753468,0.2505110875,0.2606180448,0.2661662825,0.2630196164,0.2222851296
56,CD6,OXO0,-0.23342244,-0.1839676894,-0.1679810726,-0.1864478275,-0.1924539729,-0.1481765514,0.0265433985
57,HD4,OXO0,0.1186988517,0.113568491,0.1141120388,0.1214176243,0.1212912726,0.0965262935,0.0049177783
58,CC1,terA,-0.3499066809,-0.3404896626,-0.3140680211,-0.2670460785,-0.1879149822,-0.0466477689,0.151324346
59,HC1,terA,0.1691253069,0.1683103677,0.1619615506,0.1466456539,0.1173149816,0.062873073,-0.0379553237
60,CC2,terA,0.3612034444,0.3336015015,0.2991925672,0.2593524747,0.2057555159,0.1109559568,0.0309506374
61,CC3,terA,-0.2559043578,-0.2451568175,-0.2319881478,-0.2094466428,-0.1577122419,-0.0575207161,0.0941503009
62,HC2,terA,0.1456374331,0.1415962903,0.1363213157,0.1263455159,0.1000104126,0.0520877346,-0.0263728528
63,CC4,terA,-0.0883850923,-0.0859242563,-0.080736572,-0.0728691254,-0.0495165292,4.65E-06,0.1109989406
64,HC3,terA,0.1286449224,0.1252139745,0.1193614867,0.1104992986,0.0916735489,0.0606145273,0.0043793536
65,CC5,terA,-0.158346719,-0.1487411502,-0.1316971179,-0.1065255407,-0.0723986919,-0.0127966399,0.1094825132
66,HC4,terA,0.1397294834,0.1342727477,0.1259211674,0.1142692656,0.0952795714,0.0654838061,0.0111657918
67,CC6,terA,-0.0848496584,-0.0806645885,-0.0786756133,-0.0751433459,-0.0517653322,0.0014738933,0.1135597312
68,HC5,terA,0.1310758561,0.1259697434,0.1198025497,0.1110293067,0.0919603851,0.0605283342,0.0042212316
69,CC7,terA,-0.2572941768,-0.2453730374,-0.2255431994,-0.1953916234,-0.1449976272,-0.0534646269,0.0934260142
70,HC6,terA,0.1436626067,0.1397495372,0.1332346278,0.1220494722,0.0969434055,0.050734071,-0.0281763393
71,CD1,terA,-0.1827019379,-0.2389826751,-0.2544213785,-0.2360324019,-0.2088690205,-0.1460055546,0.0246066086
72,HD1,terA,0.1348210251,0.1387754443,0.138965698,0.132354508,0.1188632309,0.0849610192,-0.016169002
73,CD2,terA,0.1909772511,0.3228914724,0.3669948575,0.3842071806,0.4230088849,0.4733084371,0.5620771697
74,HD2,terA,0.0726755658,0.0419047357,0.0313906512,0.0190098621,-0.0107356686,-0.0502530679,-0.1084488378
