,atom,residue,-9,-8,-7,-6,-5,-4,-3
69,CC7,terA,-0.155673063,-0.155673063,-0.155673063,-0.155673063,-0.155673063,-0.155673063,-0.155673063
70,HC6,terA,0.0994423049,0.0994423049,0.0994423049,0.0994423049,0.0994423049,0.0994423049,0.0994423049
71,CD1,terA,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264
72,HD1,terA,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264
73,CD2,terA,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565
74,HD2,terA,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115
75,OD1,terA,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584,-0.2017388584
76,CD3,terA,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742
77,CD4,terA,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742,0.0335511742
78,CD5,terA,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565,-0.0459937565
79,HD3,terA,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115,0.1133120115
80,CA1,terA,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397
81,OA1,terA,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077
82,OA2,terA,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379
83,CA2,terA,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469
84,CA3,terA,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552
85,NA1,terA,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975
86,HA1,terA,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325
87,HA2,terA,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098
88,CB1,terA,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397
89,OB1,terA,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077
90,OB2,terA,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379
91,CB2,terA,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469
92,CB3,terA,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552
93,NB1,terA,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975
94,HB1,terA,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325
95,HB2,terA,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098
96,CD6,terA,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264
97,HD4,terA,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264
