,atom,residue,-10,-9,-8,-7,-6,-5,-4,-3
75,CD3,terA,0.0612978601,0.0540754809,0.0412850042,0.0186810114,-0.0145797183,-0.0560468933,-0.1183991515,-0.1725185661
76,CD4,terA,0.0612978601,0.0540754809,0.0412850042,0.0186810114,-0.0145797183,-0.0560468933,-0.1183991515,-0.1725185661
77,CD5,terA,-0.1105478347,-0.0938917805,-0.0654390139,-0.0104478435,0.0761053253,0.1864909743,0.3712167678,0.6994306878
78,HD3,terA,0.1340814215,0.129689378,0.1228417594,0.1077119027,0.0809609739,0.0453954258,-0.017011094,-0.1626548614
79,CA1,terA,0.6275642612,0.6359009803,0.6454087501,0.6564734557,0.682888185,0.7595652328,0.9757008635,1.4589479573
80,OA1,terA,-0.4899947633,-0.4948197966,-0.5008080903,-0.5089484538,-0.5280096948,-0.5812425229,-0.7316650628,-1.0803493958
81,OA2,terA,-0.4203331184,-0.4289007014,-0.4360608857,-0.4381944989,-0.4380944872,-0.4523329215,-0.5331635352,-0.7870128551
82,CA2,terA,0.2827636205,0.2878195177,0.2914602259,0.2906694971,0.283215997,0.2740102116,0.2891277345,0.4084142936
83,CA3,terA,0.1827570181,0.1870843612,0.1921566897,0.198688991,0.2101825018,0.2404598616,0.3290349971,0.5428178873
84,NA1,terA,-0.7467438967,-0.7581382065,-0.7636020776,-0.7539286501,-0.7187295431,-0.6482824423,-0.5423001953,-0.368572819
85,HA1,terA,0.2827137719,0.2858307945,0.285105055,0.2755644985,0.2511297144,0.2001065185,0.1017590861,-0.0915305494
86,HA2,terA,0.2812731067,0.2852230508,0.2863403329,0.2796751605,0.2574173269,0.2077160621,0.1115061122,-0.082714519
87,CB1,terA,0.6275642612,0.6359009803,0.6454087501,0.6564734557,0.682888185,0.7595652328,0.9757008635,1.4589479573
88,OB1,terA,-0.4899947633,-0.4948197966,-0.5008080903,-0.5089484538,-0.5280096948,-0.5812425229,-0.7316650628,-1.0803493958
89,OB2,terA,-0.4203331184,-0.4289007014,-0.4360608857,-0.4381944989,-0.4380944872,-0.4523329215,-0.5331635352,-0.7870128551
90,CB2,terA,0.2827636205,0.2878195177,0.2914602259,0.2906694971,0.283215997,0.2740102116,0.2891277345,0.4084142936
91,CB3,terA,0.1827570181,0.1870843612,0.1921566897,0.198688991,0.2101825018,0.2404598616,0.3290349971,0.5428178873
92,NB1,terA,-0.7467438967,-0.7581382065,-0.7636020776,-0.7539286501,-0.7187295431,-0.6482824423,-0.5423001953,-0.368572819
93,HB1,terA,0.2827137719,0.2858307945,0.285105055,0.2755644985,0.2511297144,0.2001065185,0.1017590861,-0.0915305494
94,HB2,terA,0.2812731067,0.2852230508,0.2863403329,0.2796751605,0.2574173269,0.2077160621,0.1115061122,-0.082714519
95,CD6,terA,-0.1136821854,-0.1102060619,-0.1032508246,-0.0876845016,-0.0596907503,-0.0201164721,0.0447174054,0.2181684801
96,HD4,terA,0.1136821854,0.1102060619,0.1032508246,0.0876845016,0.0596907503,0.0201164721,-0.0447174054,-0.2181684801
97,,,,,,,,,,
