,atom,residue,-9,-8,-7,-6,-5,-4,-3
82,OA1,terA,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077
83,OA2,terA,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379
84,CA2,terA,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469
85,CA3,terA,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552
86,NA1,terA,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975
87,HA1,terA,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325
88,HA2,terA,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098
89,CB1,terA,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397,0.5711663397
90,OB1,terA,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077,-0.4576323077
91,OB2,terA,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379,-0.380594379
92,CB2,terA,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469,0.2670603469
93,CB3,terA,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552,0.1830285552
94,NB1,terA,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975,-0.7544845975
95,HB1,terA,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325,0.2832460325
96,HB2,terA,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098,0.2882100098
97,CD6,terA,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264,-0.1009076264
98,HD4,terA,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264,0.1009076264
