,atom,residue,-10,-9,-8,-7,-6,-5,-4,-3
23,CB2,terB,0.256489425,0.2644347012,0.2715194057,0.2761647904,0.2832811232,0.3044259485,0.3587655137,0.5305784811
24,CB3,terB,0.2136041252,0.2148852869,0.2167888365,0.2196956912,0.2230499777,0.2265823607,0.2507226959,0.3379713696
25,NB1,terB,-0.7373767273,-0.7437403495,-0.7491078054,-0.7488248904,-0.7413782784,-0.7225643382,-0.6731993966,-0.5313177223
26,HB1,terB,0.2828579431,0.2837647942,0.284851852,0.2851255708,0.2845263977,0.2815014532,0.2692882466,0.2166375563
27,HB2,terB,0.2715415205,0.2753404299,0.2785310495,0.2789642949,0.2772947168,0.275057472,0.2643788496,0.2133154135
28,CD6,terB,-0.2389141686,-0.2121806346,-0.2404342483,-0.2794168868,-0.3001511021,-0.2609541084,-0.1661228899,0.0155364653
29,HD4,terB,0.1685377062,0.1510647909,0.1398466217,0.1301842451,0.1200248881,0.1017884733,0.0618462918,-0.0405286311
30,CD1,OXO0,-0.3951256579,-0.3776516936,-0.2984594623,-0.2123087155,-0.1417164139,-0.1119119956,-0.084792545,0.0689950355
31,HD1,OXO0,0.1313083431,0.1406553518,0.1351636817,0.121590655,0.1026382053,0.0848126154,0.0599288628,-0.0304473523
32,CD2,OXO0,0.862733805,0.6914374782,0.51033151,0.3905772255,0.3346679964,0.355803765,0.4532648062,0.5745745349
33,HD2,OXO0,-0.144008708,-0.0918473328,-0.0351614895,-0.001504909,0.0119879049,-0.0013295038,-0.0481527343,-0.1103710692
34,OD1,OXO0,-0.369079334,-0.3724450273,-0.3703225256,-0.3807843609,-0.4114897575,-0.4473955771,-0.5253613136,-0.7458070207
35,CD3,OXO0,-0.0692366275,-0.0491861677,-0.0414116781,-0.0432327102,-0.0420987022,-0.0526195932,-0.0787121873,-0.050418278
36,CD4,OXO0,0.0002072932,0.0255016168,0.0602702386,0.0688473183,0.0328735515,-0.0110274891,-0.0373145658,-0.011595699
37,CD5,OXO0,0.1805376728,0.2340965704,0.2459759121,0.2842264727,0.3815542964,0.4419097669,0.4761745511,0.5739323886
38,HD3,OXO0,0.0124003633,0.0064049328,0.0087568425,-0.0008506764,-0.0333700187,-0.0599588501,-0.0785823729,-0.1305320859
39,CA1,OXO0,0.6015925946,0.5710139569,0.5482861328,0.5490801474,0.5701641628,0.6143759617,0.7281961643,0.9868722461
40,OA1,OXO0,-0.4700396586,-0.4665554474,-0.4651528658,-0.4693618356,-0.4797855504,-0.5052086516,-0.5764298426,-0.7508765359
41,OA2,OXO0,-0.3994865775,-0.4102472553,-0.4250490172,-0.4403132341,-0.4487021775,-0.4612234859,-0.5312378625,-0.768147456
42,CA2,OXO0,0.249124971,0.2675913937,0.2865416742,0.3019454145,0.3122156064,0.3248455703,0.3688191102,0.5284006648
43,CA3,OXO0,0.2067587627,0.206210574,0.2057009729,0.2044664655,0.2029129899,0.2052497908,0.2343433444,0.3335807396
44,NA1,OXO0,-0.7541099293,-0.7676867944,-0.7790186781,-0.7826073441,-0.7687853385,-0.7284477356,-0.6634257523,-0.5222852842
45,HA1,OXO0,0.2833393276,0.2896448163,0.2955275758,0.29980503,0.2993039891,0.2915074946,0.2758414698,0.2260745875
46,HA2,OXO0,0.2842289071,0.288620237,0.2924120466,0.2934761887,0.2893914396,0.2786329864,0.2610830727,0.2086905066
47,CB1,OXO0,0.4661402978,0.5023867839,0.5412237954,0.5694585246,0.5812357542,0.6160098303,0.7300945474,0.9822753258
48,OB1,OXO0,-0.4341790905,-0.449768584,-0.464689014,-0.4756428515,-0.4828044182,-0.5025876786,-0.5715050247,-0.7465014058
49,OB2,OXO0,-0.3805549389,-0.3963027812,-0.414284044,-0.4276231913,-0.4343088587,-0.4525060981,-0.528278516,-0.7717114002
50,CB2,OXO0,0.2654794192,0.2714703693,0.2786414323,0.2867352528,0.2964459539,0.3124309123,0.360067883,0.524910825
51,CB3,OXO0,0.2055250705,0.2079397139,0.2106693947,0.2107209448,0.2095469403,0.2159720756,0.2481669865,0.3440891322
52,NB1,OXO0,-0.73818882,-0.7479009523,-0.7566816799,-0.7568293845,-0.744329197,-0.7142982199,-0.6567219352,-0.5194260604
53,HB1,OXO0,0.2806888581,0.2833989827,0.2836807542,0.2808857138,0.2770474889,0.2699590134,0.2551017959,0.2032517268
54,HB2,OXO0,0.272480428,0.2769477475,0.2837007529,0.2888889844,0.2873709928,0.2759599253,0.2507963999,0.1893387957
55,CD6,OXO0,-0.2846212745,-0.3288291206,-0.3348870258,-0.3329855661,-0.3194240311,-0.2617972178,-0.1587226919,0.0330615999
56,HD4,OXO0,0.1587151993,0.1606946326,0.1571884072,0.1475636187,0.1282419243,0.0989346271,0.0534496674,-0.0475227346
57,CC1,terA,-0.4156156626,-0.3995814793,-0.3798666918,-0.3543120749,-0.3035552109,-0.2097227697,-0.0623439843,0.1394178162
58,HC1,terA,0.1734972055,0.1701606887,0.165559882,0.1583533366,0.1411930005,0.1082924871,0.0535856519,-0.0479687546
59,CC2,terA,0.4344938426,0.3887361542,0.3484653586,0.3161251721,0.2781763878,0.2178788183,0.1192258298,0.0361978969
60,CC3,terA,-0.3028073244,-0.2740767414,-0.2464444309,-0.2274661521,-0.206287588,-0.1537544995,-0.0564006853,0.0923256597
61,HC2,terA,0.1484129103,0.1431920952,0.1371453749,0.1317699294,0.1233163186,0.0979125704,0.0507604316,-0.0284581987
62,CC4,terA,-0.0615360418,-0.0732664019,-0.0838765809,-0.0853844146,-0.0771752732,-0.0535872199,-0.0027669845,0.1091545941
63,HC3,terA,0.1181462062,0.1172434984,0.1158670977,0.1120739886,0.1033597131,0.0842753189,0.0538512312,-0.0012929012
64,CC5,terA,-0.1914396235,-0.1756121213,-0.1585108898,-0.1417410934,-0.117619049,-0.0811074953,-0.0201779663,0.1027238525
65,HC4,terA,0.1334113562,0.1290924576,0.1237075789,0.1169569931,0.106025577,0.0866575807,0.0574713785,0.0043882588
66,CC6,terA,-0.0774379738,-0.0846847003,-0.0872810553,-0.0834523002,-0.0757782285,-0.0510598064,0.0003038009,0.1106382081
67,HC5,terA,0.1220109798,0.1206512744,0.1176424898,0.1122345893,0.1030523059,0.0833304516,0.0521730526,-0.0041565059
68,CC7,terA,-0.2848578914,-0.2597333057,-0.2414605063,-0.2272697902,-0.202939506,-0.152384943,-0.0576094459,0.0905566671
69,HC6,terA,0.1420542777,0.1353519871,0.1304431127,0.1255779474,0.1157858355,0.0909305048,0.0438585357,-0.036032267
70,CD1,terA,-0.2821755446,-0.2234268197,-0.2033308176,-0.1738380368,-0.1376556894,-0.1152545681,-0.0785983119,0.074029416
71,HD1,terA,0.1586699734,0.1430257288,0.1305437766,0.1159192729,0.0997833704,0.0839341622,0.0586957892,-0.0262662562
72,CD2,terA,0.3081119368,0.3032112551,0.3672557525,0.4017535159,0.3988304823,0.4072696444,0.4572692877,0.5622936197
73,HD2,terA,-0.0214244928,0.0099852455,0.0088402115,0.0039229122,0.0037522262,-0.0097865358,-0.0484634131,-0.1115658299
74,OD1,terA,-0.3544201728,-0.3792382099,-0.4108762141,-0.4373388579,-0.460788156,-0.4787637788,-0.5237020053,-0.7038922344
75,CD3,terA,0.1038979777,0.0685762881,0.0205959888,-0.0120260606,-0.0283267408,-0.0460016458,-0.0679552331,-0.0440014997
76,CD4,terA,-0.0358008539,-0.0089671241,0.002461996,-0.0108424366,-0.0345017434,-0.0577853682,-0.0804420735,-0.0518675874
77,CD5,terA,0.2081409927,0.2085463511,0.2082768569,0.2352469537,0.3027255559,0.3821029226,0.4733669073,0.5818881317
78,HD3,terA,0.0523905412,0.0509381394,0.0500154951,0.0415138684,0.0193874605,-0.0128666532,-0.0561756333,-0.1138629435
79,CA1,terA,0.5962494079,0.5662443258,0.554189552,0.5672890815,0.5940453775,0.6392544245,0.7500607868,1.001675549
80,OA1,terA,-0.4665618605,-0.4624517113,-0.463865579,-0.4727531492,-0.4882297224,-0.5162246316,-0.5886609389,-0.7675096425
81,OA2,terA,-0.4003547293,-0.4056970195,-0.4101599234,-0.4137890353,-0.4228677793,-0.4491902453,-0.5320983116,-0.7811589736
82,CA2,terA,0.2373108251,0.2507972318,0.2614649122,0.2691570684,0.2810128467,0.3040900478,0.3605879042,0.5287661
83,CA3,terA,0.2065437657,0.2063406705,0.2050557506,0.2006567617,0.1951243977,0.196839285,0.2237337481,0.3176895209
84,NA1,terA,-0.7316314518,-0.7430269673,-0.7465415755,-0.7370102848,-0.7205386712,-0.6931353157,-0.641914441,-0.5082400616
85,HA1,terA,0.2837111142,0.2869979365,0.2874698397,0.2843511447,0.2816880612,0.2779252031,0.2654618664,0.2144527775
86,HA2,terA,0.2683921203,0.274862802,0.2787748759,0.278598694,0.2763076422,0.2703067636,0.2572502648,0.2066328554
87,CB1,terA,0.4977834358,0.5258528148,0.5657324749,0.5962269713,0.6085526735,0.638800268,0.749112583,0.999105038
